user_id,total_orders,total_items,distinct_products,reorder_rate,avg_days_between,std_days_between,most_frequent_dow,most_frequent_hour,avg_cart_size,days_since_last_order,target
1,10,59,18,0.6949152542372882,20.25925925925926,9.304462684972448,4,7,5.9,30.0,1
2,14,195,102,0.47692307692307695,15.967032967032967,9.119768521646254,2,9,13.93,13.0,0
5,4,37,23,0.3783783783783784,14.5,4.263801121065569,3,18,9.25,19.0,0
7,20,206,68,0.6699029126213593,13.54639175257732,10.619681228744055,0,9,10.3,7.0,1
8,3,49,36,0.2653061224489796,30.0,0.0,6,0,16.33,30.0,0
9,3,76,58,0.23684210526315788,24.26086956521739,10.350383315733223,5,12,25.33,30.0,1
10,5,143,94,0.34265734265734266,20.746376811594203,7.630195101544489,5,15,28.6,23.0,0
13,12,81,29,0.6419753086419753,7.381578947368421,1.7279437125335446,6,13,6.75,6.0,1
14,13,210,142,0.3238095238095238,24.570731707317073,8.662581349600735,5,8,16.15,7.0,1
17,40,294,83,0.717687074829932,8.268041237113403,7.4512421513660145,5,12,7.35,27.0,1
18,6,39,29,0.2564102564102564,6.466666666666667,2.9911747586494517,2,16,6.5,4.0,0
21,33,205,102,0.5024390243902439,10.055,7.3143333504707755,1,9,6.21,30.0,1
23,4,40,36,0.1,16.2,11.568089282814705,5,11,10.0,30.0,1
24,18,38,18,0.5263157894736842,15.162162162162161,9.328908217392245,0,8,2.11,14.0,1
27,81,768,220,0.7135416666666666,5.1251629726206,3.9098830981950674,1,14,9.48,6.0,1
29,18,225,67,0.7022222222222222,11.793427230046948,2.8308532600297505,5,11,12.5,14.0,1
30,8,11,6,0.45454545454545453,22.625,9.99910710299389,1,13,1.38,30.0,1
34,5,32,26,0.1875,18.612903225806452,5.444737026737157,0,14,6.4,21.0,1
37,23,188,104,0.44680851063829785,12.6875,7.682935636851321,5,16,8.17,6.0,0
38,12,195,88,0.5487179487179488,22.87845303867403,7.206989650043766,6,10,16.25,30.0,1
41,5,65,47,0.27692307692307694,26.314814814814813,3.272665949633354,0,13,13.0,27.0,0
42,16,133,60,0.5488721804511278,12.9453125,6.703282300661536,3,13,8.31,14.0,1
43,11,147,88,0.4013605442176871,10.549295774647888,5.865607735817191,4,12,13.36,9.0,1
44,3,37,30,0.1891891891891892,30.0,0.0,0,9,12.33,30.0,0
46,19,157,62,0.6050955414012739,18.102739726027398,8.046185176244139,0,16,8.26,21.0,1
47,5,26,21,0.19230769230769232,9.75,4.16596485317564,2,10,5.2,14.0,0
48,10,113,58,0.48672566371681414,21.36936936936937,6.984304387733095,5,11,11.3,14.0,0
49,8,47,45,0.0425531914893617,28.522727272727273,3.5073917716971867,2,11,5.88,28.0,0
50,67,453,89,0.8035320088300221,5.691275167785235,3.0509117850368987,1,10,6.76,6.0,1
52,27,169,51,0.6982248520710059,9.134969325153374,4.701609046114961,1,10,6.26,10.0,0
53,3,35,34,0.02857142857142857,16.48148148148148,0.5091750772173149,3,15,11.67,16.0,0
55,7,87,43,0.5057471264367817,16.428571428571427,6.638065213180425,2,13,12.43,13.0,1
56,12,145,52,0.6413793103448275,6.985294117647059,2.1908405088176215,1,8,12.08,8.0,1
59,10,92,60,0.34782608695652173,18.126582278481013,7.981335741635455,2,10,9.2,11.0,1
62,10,80,53,0.3375,15.772151898734178,8.985671453141965,4,14,8.0,4.0,1
